Language,Participant,Occurency_order,Item,Consistency,Cons_level,Lexicality,Accuracy,RT,logRT,Outlier
French,101,63,Fr_con_peur.wav,con,NA,word,1,797,0.967152774,0
French,101,64,Fr_con0_larme.wav,con,0,word,1,970,0.995590578,0
French,101,65,Fr_inc_camera-samena.wav,inc,2,pseudoword,1,1118,1.016147268,0
French,101,66,Fr_con_roulade.wav,con,NA,word,1,2151,1.110880137,0
French,101,67,Fr_con_doute.wav,con,NA,word,1,1736,1.079849907,0
French,101,68,Fr_con0_drame.wav,con,0,word,1,848,0.976131951,0
French,101,69,Fr_inc_cicatrice-quigeatrice.wav,inc,NA,pseudoword,1,1361,1.044619375,0
French,101,70,Fr_inc_caisse-seffe.wav,inc,3,pseudoword,1,1763,1.082084104,0
French,101,71,Fr_inc_sirene-kirelle.wav,inc,3,pseudoword,1,1556,1.064003198,0
French,101,72,Fr_con_douleur.wav,con,NA,word,1,1091,1.01260825,0
French,101,73,Fr_inc_cigogne-quisogne.wav,inc,3,pseudoword,1,920,0.987929276,0
French,101,74,Fr_con0_vapeur.wav,con,0,word,1,1157,1.02111112,0
French,101,75,Fr_con_pneu.wav,con,NA,word,1,1163,1.021859905,0
French,101,76,Fr_inc_phare-jale.wav,inc,NA,pseudoword,0,1207,1.027235757,0
French,101,77,Fr_con_don-be.wav,con,NA,pseudoword,0,1283,1.036075552,0
French,101,78,Fr_inc2_flaque.wav,inc,2,word,1,1123,1.016793252,0
French,101,79,Fr_con_bol.wav,con,NA,word,1,1399,1.048605905,0
French,101,80,Fr_inc_kepi-selie.wav,inc,3,pseudoword,1,1098,1.013534113,0
French,101,81,Fr_inc2_gendarme.wav,inc,2,word,1,987,0.998105718,0
French,101,82,Fr_con_doudoune.wav,con,NA,word,1,876,0.980834702,0
French,101,83,Fr_inc2_quai.wav,inc,2,word,1,847,0.975961137,0
French,101,84,Fr_con0_date.wav,con,0,word,1,911,0.986506126,0
French,101,85,Fr_inc_cerf-queche.wav,inc,2,pseudoword,1,1065,1.009116536,0
French,101,86,Fr_con_mouche-poube.wav,con,NA,pseudoword,1,1249,1.032187479,0
French,101,87,Fr_con_preuve.wav,con,NA,word,1,1626,1.070373514,0
French,101,88,Fr_inc3_fils.wav,inc,3,word,1,1257,1.033111759,0
French,101,89,Fr_inc_question-sejtion.wav,inc,NA,pseudoword,1,1202,1.026634823,0
French,101,90,Fr_con_vapeur-raneur.wav,con,0,pseudoword,0,2087,1.106507483,0
French,101,91,Fr_inc_jupe.wav,inc,NA,word,1,1495,1.058213731,0
French,101,92,Fr_con_bol-doche-.wav,con,NA,pseudoword,1,1414,1.050149803,0
French,101,93,Fr_inc_question.wav,inc,NA,word,1,1646,1.072143277,0
French,101,94,Fr_inc_castor-sactor.wav,inc,2,pseudoword,1,2257,1.117843853,0
French,101,95,Fr_inc_soupe.wav,inc,NA,word,0,1098,1.013534113,0
French,101,96,Fr_inc_fils-jige.wav,inc,3,pseudoword,1,1401,1.048812712,0
French,101,97,Fr_con0_morve.wav,con,0,word,1,1143,1.019348743,0
French,101,98,Fr_con_mouche.wav,con,NA,word,0,1311,1.039200897,0
French,101,99,Fr_con_peluche.wav,con,NA,word,1,954,0.993182792,0
French,101,100,Fr_con_peur-leute.wav,con,NA,pseudoword,1,1305,1.038536837,0
French,101,101,Fr_inc3_cerveau.wav,inc,3,word,1,1367,1.045256172,0
French,101,102,Fr_inc3_cigogne.wav,inc,3,word,1,1073,1.010199907,0
French,101,103,Fr_inc3_gifle.wav,inc,3,word,0,1053,1.007476124,0
French,101,104,Fr_inc_jour-foube.wav,inc,NA,pseudoword,1,1377,1.046311313,0
French,101,105,Fr_con_madame.wav,con,NA,word,1,1256,1.032996546,0
French,101,106,Fr_inc_sapin-carin.wav,inc,2,pseudoword,1,1946,1.096380945,0
French,101,107,Fr_inc_soupe-coume.wav,inc,NA,pseudoword,1,1815,1.08629221,0
French,101,108,Fr_inc_cible-quibre.wav,inc,2,pseudoword,1,1419,1.050660798,0
French,101,109,Fr_inc_cicatrice.wav,inc,NA,word,1,1259,1.03334191,0
French,101,110,Fr_con0_baton.wav,con,0,word,1,1089,1.012342627,0
French,101,111,Fr_inc_flaque-slasse.wav,inc,2,pseudoword,1,1828,1.087325397,0
French,101,112,Fr_inc3_kepis.wav,inc,3,word,1,1329,1.041174994,0
French,101,113,Fr_con0_brulure.wav,con,0,word,1,1211,1.027714714,0
French,101,114,Fr_con_puma-luva.wav,con,NA,pseudoword,1,1071,1.009929824,0
French,101,115,Fr_inc_jour.wav,inc,NA,word,1,1521,1.060709738,0
French,101,116,Fr_inc3_girafe.wav,inc,3,word,1,1115,1.015758289,0
French,101,117,Fr_con_puma.wav,con,NA,word,1,1576,1.065852071,0
French,101,118,Fr_con_machoire-passoile.wav,con,0,pseudoword,1,1088,1.012209632,0
